Plant Name,Min Temperature,Max Temperature,Avg Temperature,Avg Rainfall,Soil,Zone,Humidity,Sunlight,Is_grow
Aloe Vera,10.33,44,27.165,735,Red & Yellow,CSA,90.33,4.33,0
Aloe Vera,13.15,39.91,26.53,576.725,Red & Yellow,BSH,38.28,9.24,1
Aloe Vera,13.13,39.88,26.505,572.415,Alluvial,AW,37.59,9.14,1
Aloe Vera,13.15,39.91,26.53,576.725,Alluvial,AW,38.28,9.24,1
Aloe Vera,9.67,43,26.335,697.5,Red & Yellow,AM,80.67,3.67,0
Aloe Vera,9.67,43,26.335,697.5,Mountain,CWA,80.67,3.67,0
Aloe Vera,13.27,40.12,26.695,602.585,Alluvial,AW,42.41,9.86,1
Aloe Vera,11,45,28,772.5,Red & Yellow,CWA,100,5,0
Aloe Vera,9.67,43,26.335,697.5,Mountain,AM,80.67,3.67,0
Aloe Vera,12.92,39.53,26.225,529.31,Red & Yellow,BSH,30.69,8.1,1
Aloe Vera,13.07,39.78,26.425,559.48,Arid,BSH,35.52,8.83,1
Aloe Vera,13.4,40.33,26.865,628.45,Red & Yellow,AW,46.55,10.48,1
Aloe Vera,12.92,39.53,26.225,529.31,Red & Yellow,AW,30.69,8.1,1
Aloe Vera,13.07,39.78,26.425,559.48,Red & Yellow,BSH,35.52,8.83,1
Aloe Vera,13.23,40.05,26.64,593.965,Red & Yellow,AW,41.03,9.66,1
Aloe Vera,13.23,40.05,26.64,593.965,Arid,BSH,41.03,9.66,1
Aloe Vera,9,42,25.5,660,Red & Yellow,ET,71,3,0
Aloe Vera,13.31,40.19,26.75,611.205,Arid,BSH,43.79,10.07,1
Aloe Vera,10,43.5,26.75,716.25,Laterite,CWA,85.5,4,0
Aloe Vera,13.11,39.84,26.475,568.105,Red & Yellow,BSH,36.9,9.03,1
Aloe Vera,13.48,40.47,26.975,645.69,Red & Yellow,BSH,49.31,10.9,1
Aloe Vera,13.27,40.12,26.695,602.585,Arid,BSH,42.41,9.86,1
Aloe Vera,13.48,40.47,26.975,645.69,Alluvial,AW,49.31,10.9,1
Aloe Vera,9.67,43,26.335,697.5,Alluvial,CWB,80.67,3.67,0
Aloe Vera,13.46,40.43,26.945,641.38,Red & Yellow,AW,48.62,10.79,1
Aloe Vera,13.09,39.81,26.45,563.795,Alluvial,BSH,36.21,8.93,1
Aloe Vera,13,39.67,26.335,546.55,Arid,BSH,33.45,8.52,1
Aloe Vera,11,45,28,772.5,Red & Yellow,ET,100,5,0
Aloe Vera,13.25,40.09,26.67,598.275,Red & Yellow,AW,41.72,9.76,1
Aloe Vera,13.33,40.22,26.775,615.52,Red & Yellow,BSH,44.48,10.17,1
Aloe Vera,13.23,40.05,26.64,593.965,Alluvial,BSH,41.03,9.66,1
Aloe Vera,13.44,40.4,26.92,637.07,Arid,BSH,47.93,10.69,1
Aloe Vera,12.96,39.6,26.28,537.93,Red & Yellow,AW,32.07,8.31,1
Aloe Vera,9.67,43,26.335,697.5,Mountain,DFC,80.67,3.67,0
Aloe Vera,9,42,25.5,660,Laterite,AM,71,3,0
Aloe Vera,9,42,25.5,660,Red & Yellow,CWA,71,3,0
Aloe Vera,13.04,39.74,26.39,555.175,Red & Yellow,AW,34.83,8.72,1
Aloe Vera,13.13,39.88,26.505,572.415,Arid,BSH,37.59,9.14,1
Aloe Vera,10.33,44,27.165,735,Alluvial,CWA,90.33,4.33,0
Aloe Vera,13.07,39.78,26.425,559.48,Alluvial,BSH,35.52,8.83,1
Aloe Vera,11,45,28,772.5,Laterite,CWA,100,5,0
Aloe Vera,10,43.5,26.75,716.25,Black,BSH,85.5,4,0
Aloe Vera,13.15,39.91,26.53,576.725,Red & Yellow,AW,38.28,9.24,1
Aloe Vera,9,42,25.5,660,Mountain,DFC,71,3,0
Aloe Vera,9,42,25.5,660,Laterite,CWA,71,3,0
Aloe Vera,10,43.5,26.75,716.25,Laterite,BSH,85.5,4,0
Aloe Vera,13.4,40.33,26.865,628.45,Red & Yellow,BSH,46.55,10.48,1
Aloe Vera,13.13,39.88,26.505,572.415,Red & Yellow,AW,37.59,9.14,1
Aloe Vera,12.98,39.64,26.31,542.245,Arid,BSH,32.76,8.41,1
Aloe Vera,11,45,28,772.5,Black,AW,100,5,0
Aloe Vera,13.36,40.26,26.81,619.825,Red & Yellow,BSH,45.17,10.28,1
Aloe Vera,12.9,39.5,26.2,525,Red & Yellow,BSH,30,8,1
Aloe Vera,10.33,44,27.165,735,Alluvial,CWB,90.33,4.33,0
Aloe Vera,13.36,40.26,26.81,619.825,Red & Yellow,AW,45.17,10.28,1
Aloe Vera,13.29,40.16,26.725,606.895,Red & Yellow,BSH,43.1,9.97,1
Aloe Vera,9,42,25.5,660,Black,BSH,71,3,0
Aloe Vera,13.04,39.74,26.39,555.175,Alluvial,BSH,34.83,8.72,1
Aloe Vera,12.96,39.6,26.28,537.93,Red & Yellow,BSH,32.07,8.31,1
Aloe Vera,13.19,39.98,26.585,585.345,Red & Yellow,AW,39.66,9.45,1
Aloe Vera,9.67,43,26.335,697.5,Red & Yellow,CWA,80.67,3.67,0
Aloe Vera,12.94,39.57,26.255,533.62,Red & Yellow,BSH,31.38,8.21,1
Aloe Vera,13.33,40.22,26.775,615.52,Alluvial,AW,44.48,10.17,1
Aloe Vera,13.21,40.02,26.615,589.655,Red & Yellow,AW,40.34,9.55,1
Aloe Vera,13.19,39.98,26.585,585.345,Red & Yellow,BSH,39.66,9.45,1
Aloe Vera,13.15,39.91,26.53,576.725,Arid,BSH,38.28,9.24,1
Aloe Vera,9,42,25.5,660,Red & Yellow,CWB,71,3,0
Aloe Vera,10.33,44,27.165,735,Red & Yellow,CWB,90.33,4.33,0
Aloe Vera,13.25,40.09,26.67,598.275,Alluvial,AW,41.72,9.76,1
Aloe Vera,13.25,40.09,26.67,598.275,Red & Yellow,BSH,41.72,9.76,1
Aloe Vera,10,43.5,26.75,716.25,Laterite,CWB,85.5,4,0
Aloe Vera,12.96,39.6,26.28,537.93,Alluvial,AW,32.07,8.31,1
Aloe Vera,12.9,39.5,26.2,525,Arid,BSH,30,8,1
Aloe Vera,13.17,39.95,26.56,581.035,Red & Yellow,BSH,38.97,9.34,1
Aloe Vera,13.5,40.5,27,650,Alluvial,BSH,50,11,1
Aloe Vera,9.67,43,26.335,697.5,Red & Yellow,CWB,80.67,3.67,0
Aloe Vera,13.33,40.22,26.775,615.52,Red & Yellow,AW,44.48,10.17,1
Aloe Vera,9,42,25.5,660,Laterite,CWB,71,3,0
Aloe Vera,13.15,39.91,26.53,576.725,Alluvial,BSH,38.28,9.24,1
Aloe Vera,9.67,43,26.335,697.5,Alluvial,AM,80.67,3.67,0
Aloe Vera,13.29,40.16,26.725,606.895,Alluvial,AW,43.1,9.97,1
Aloe Vera,10.33,44,27.165,735,Alluvial,BWH,90.33,4.33,0
Aloe Vera,13.33,40.22,26.775,615.52,Arid,BSH,44.48,10.17,1
Aloe Vera,13.09,39.81,26.45,563.795,Alluvial,AW,36.21,8.93,1
Aloe Vera,12.96,39.6,26.28,537.93,Arid,BSH,32.07,8.31,1
Aloe Vera,13.42,40.36,26.89,632.755,Red & Yellow,AW,47.24,10.59,1
Aloe Vera,13.46,40.43,26.945,641.38,Red & Yellow,BSH,48.62,10.79,1
Aloe Vera,13.07,39.78,26.425,559.48,Red & Yellow,AW,35.52,8.83,1
Aloe Vera,12.98,39.64,26.31,542.245,Red & Yellow,AW,32.76,8.41,1
Aloe Vera,12.94,39.57,26.255,533.62,Alluvial,AW,31.38,8.21,1
Aloe Vera,11,45,28,772.5,Laterite,CWB,100,5,0
Aloe Vera,13.02,39.71,26.365,550.86,Arid,BSH,34.14,8.62,1
Aloe Vera,9,42,25.5,660,Alluvial,AM,71,3,0
Aloe Vera,9.67,43,26.335,697.5,Red & Yellow,AF,80.67,3.67,0
Aloe Vera,13.38,40.29,26.835,624.14,Red & Yellow,BSH,45.86,10.38,1
Aloe Vera,9.67,43,26.335,697.5,Mountain,AW,80.67,3.67,0
Aloe Vera,9.67,43,26.335,697.5,Alluvial,CWA,80.67,3.67,0
Aloe Vera,9,42,25.5,660,Red & Yellow,AF,71,3,0
Aloe Vera,13.42,40.36,26.89,632.755,Alluvial,AW,47.24,10.59,1
Aloe Vera,10.33,44,27.165,735,Mountain,DFC,90.33,4.33,0
Aloe Vera,12.92,39.53,26.225,529.31,Alluvial,BSH,30.69,8.1,1
Aloe Vera,13.25,40.09,26.67,598.275,Alluvial,BSH,41.72,9.76,1
Aloe Vera,9,42,25.5,660,Laterite,BWH,71,3,0
Aloe Vera,13.21,40.02,26.615,589.655,Arid,BSH,40.34,9.55,1
Aloe Vera,12.94,39.57,26.255,533.62,Red & Yellow,AW,31.38,8.21,1
Aloe Vera,13.5,40.5,27,650,Red & Yellow,BSH,50,11,1
Aloe Vera,9,42,25.5,660,Mountain,AW,71,3,0
Aloe Vera,13.38,40.29,26.835,624.14,Arid,BSH,45.86,10.38,1
Aloe Vera,9.67,43,26.335,697.5,Arid,BWH,80.67,3.67,0
Aloe Vera,11,45,28,772.5,Alluvial,CWB,100,5,0
Aloe Vera,10.33,44,27.165,735,Mountain,CWB,90.33,4.33,0
Aloe Vera,13.31,40.19,26.75,611.205,Alluvial,BSH,43.79,10.07,1
Aloe Vera,11,45,28,772.5,Red & Yellow,AF,100,5,0
Aloe Vera,13.48,40.47,26.975,645.69,Alluvial,BSH,49.31,10.9,1
Aloe Vera,11,45,28,772.5,Mountain,ET,100,5,0
Aloe Vera,13,39.67,26.335,546.55,Alluvial,AW,33.45,8.52,1
Aloe Vera,9,42,25.5,660,Laterite,AW,71,3,0
Aloe Vera,11,45,28,772.5,Alluvial,CWA,100,5,0
Aloe Vera,9,42,25.5,660,Mountain,AM,71,3,0
Aloe Vera,9,42,25.5,660,Mountain,CWA,71,3,0
Aloe Vera,9,42,25.5,660,Mountain,ET,71,3,0
Aloe Vera,10.33,44,27.165,735,Arid,BWH,90.33,4.33,0
Aloe Vera,11,45,28,772.5,Alluvial,BWH,100,5,0
Aloe Vera,10,43.5,26.75,716.25,Laterite,BWH,85.5,4,0
Aloe Vera,13.36,40.26,26.81,619.825,Alluvial,BSH,45.17,10.28,1
Aloe Vera,13.11,39.84,26.475,568.105,Red & Yellow,AW,36.9,9.03,1
Aloe Vera,11,45,28,772.5,Black,CWA,100,5,0
Aloe Vera,13.19,39.98,26.585,585.345,Alluvial,AW,39.66,9.45,1
Aloe Vera,9.67,43,26.335,697.5,Red & Yellow,ET,80.67,3.67,0
Aloe Vera,12.98,39.64,26.31,542.245,Alluvial,AW,32.76,8.41,1
Money Plant,9,40,24.5,1866.665,Alluvial,CWB,85,2.33,0
Money Plant,9,40,24.5,1866.665,Laterite,CWA,85,2.33,0
Money Plant,14.4,34,24.2,1780,Red & Yellow,AF,66,4.6,1
Money Plant,14.85,34.75,24.8,1832.5,Red & Yellow,AM,69,4.9,1
Money Plant,14.57,34.29,24.43,1800,Alluvial,AW,67.14,4.71,1
Money Plant,7,38,22.5,1700,Mountain,AW,75,1,0
Money Plant,7,38,22.5,1700,Laterite,BSH,75,1,0
Money Plant,14.14,33.57,23.855,1750,Laterite,AM,64.29,4.43,1
Money Plant,8,39,23.5,1783.335,Laterite,CWA,80,1.67,0
Money Plant,7,38,22.5,1700,Mountain,ET,75,1,0
Money Plant,9,40,24.5,1866.665,Red & Yellow,ET,85,2.33,0
Money Plant,14.71,34.52,24.615,1816.665,Laterite,AM,68.1,4.81,1
Money Plant,12,30,21,1500,Red & Yellow,AW,50,3,1
Money Plant,13.35,32.25,22.8,1657.5,Red & Yellow,AM,59,3.9,1
Money Plant,12,30,21,1500,Alluvial,AW,50,3,1
Money Plant,12.9,31.5,22.2,1605,Red & Yellow,AM,56,3.6,1
Money Plant,12.86,31.43,22.145,1600,Laterite,AW,55.71,3.57,1
Money Plant,14.85,34.75,24.8,1832.5,Red & Yellow,AF,69,4.9,1
Money Plant,14.1,33.5,23.8,1745,Red & Yellow,AW,64,4.4,1
Money Plant,12,30,21,1500,Alluvial,AM,50,3,1
Money Plant,14.29,33.81,24.05,1766.665,Laterite,AM,65.24,4.52,1
Money Plant,12.6,31,21.8,1570,Red & Yellow,AM,54,3.4,1
Money Plant,14.85,34.75,24.8,1832.5,Alluvial,AM,69,4.9,1
Money Plant,13.65,32.75,23.2,1692.5,Red & Yellow,AF,61,4.1,1
Money Plant,14.85,34.75,24.8,1832.5,Red & Yellow,AW,69,4.9,1
Money Plant,7,38,22.5,1700,Black,CWA,75,1,0
Money Plant,8,39,23.5,1783.335,Arid,BSH,80,1.67,0
Money Plant,13.95,33.25,23.6,1727.5,Alluvial,AM,63,4.3,1
Money Plant,7,38,22.5,1700,Black,AW,75,1,0
Money Plant,12.43,30.71,21.57,1550,Laterite,AW,52.86,3.29,1
Money Plant,12.29,30.48,21.385,1533.335,Alluvial,AW,51.9,3.19,1
Money Plant,14.25,33.75,24,1762.5,Alluvial,AM,65,4.5,1
Money Plant,13.5,32.5,23,1675,Red & Yellow,AM,60,4,1
Money Plant,9,40,24.5,1866.665,Black,AW,85,2.33,0
Money Plant,9,40,24.5,1866.665,Alluvial,BWH,85,2.33,0
Money Plant,12.14,30.24,21.19,1516.665,Laterite,AM,50.95,3.1,1
Money Plant,12.3,30.5,21.4,1535,Red & Yellow,AF,52,3.2,1
Money Plant,12.75,31.25,22,1587.5,Red & Yellow,AW,55,3.5,1
Money Plant,7,38,22.5,1700,Red & Yellow,CWA,75,1,0
Money Plant,14.55,34.25,24.4,1797.5,Red & Yellow,AM,67,4.7,1
Money Plant,10,41,25.5,1950,Alluvial,BWH,90,3,0
Money Plant,13.2,32,22.6,1640,Red & Yellow,AF,58,3.8,1
Money Plant,13.8,33,23.4,1710,Red & Yellow,AW,62,4.2,1
Money Plant,13.71,32.86,23.285,1700,Laterite,AM,61.43,4.14,1
Money Plant,10,41,25.5,1950,Arid,BWH,90,3,0
Money Plant,10,41,25.5,1950,Black,AW,90,3,0
Money Plant,10,41,25.5,1950,Laterite,BSH,90,3,0
Money Plant,12.14,30.24,21.19,1516.665,Alluvial,AW,50.95,3.1,1
Money Plant,12.57,30.95,21.76,1566.67,Alluvial,AW,53.81,3.38,1
Money Plant,14.7,34.5,24.6,1815,Red & Yellow,AM,68,4.8,1
Money Plant,14.43,34.05,24.24,1783.33,Laterite,AM,66.19,4.62,1
Money Plant,13.71,32.86,23.285,1700,Laterite,AW,61.43,4.14,1
Money Plant,14.57,34.29,24.43,1800,Laterite,AW,67.14,4.71,1
Money Plant,13.43,32.38,22.905,1666.67,Laterite,AW,59.52,3.95,1
Money Plant,12.3,30.5,21.4,1535,Alluvial,AM,52,3.2,1
Money Plant,8,39,23.5,1783.335,Black,AW,80,1.67,0
Money Plant,12.15,30.25,21.2,1517.5,Red & Yellow,AW,51,3.1,1
Money Plant,13.2,32,22.6,1640,Alluvial,AM,58,3.8,1
Money Plant,14.1,33.5,23.8,1745,Red & Yellow,AF,64,4.4,1
Money Plant,9,40,24.5,1866.665,Alluvial,CWA,85,2.33,0
Money Plant,14.4,34,24.2,1780,Alluvial,AM,66,4.6,1
Money Plant,14,33.33,23.665,1733.33,Laterite,AM,63.33,4.33,1
Money Plant,14.25,33.75,24,1762.5,Red & Yellow,AF,65,4.5,1
Money Plant,9,40,24.5,1866.665,Laterite,BWH,85,2.33,0
Money Plant,13.35,32.25,22.8,1657.5,Alluvial,AM,59,3.9,1
Money Plant,10,41,25.5,1950,Alluvial,CWB,90,3,0
Money Plant,14.71,34.52,24.615,1816.665,Laterite,AW,68.1,4.81,1
Money Plant,13.65,32.75,23.2,1692.5,Red & Yellow,AM,61,4.1,1
Money Plant,7,38,22.5,1700,Alluvial,CWA,75,1,0
Money Plant,12.6,31,21.8,1570,Red & Yellow,AF,54,3.4,1
Money Plant,10,41,25.5,1950,Mountain,AW,90,3,0
Money Plant,7,38,22.5,1700,Laterite,BWH,75,1,0
Money Plant,8,39,23.5,1783.335,Alluvial,BSH,80,1.67,0
Money Plant,12.3,30.5,21.4,1535,Red & Yellow,AM,52,3.2,1
Money Plant,8,39,23.5,1783.335,Red & Yellow,ET,80,1.67,0
Money Plant,9,40,24.5,1866.665,Arid,BWH,85,2.33,0
Money Plant,14.55,34.25,24.4,1797.5,Red & Yellow,AW,67,4.7,1
Money Plant,10,41,25.5,1950,Black,BSH,90,3,0
Money Plant,8,39,23.5,1783.335,Mountain,AM,80,1.67,0
Money Plant,13.43,32.38,22.905,1666.67,Alluvial,AW,59.52,3.95,1
Money Plant,13.5,32.5,23,1675,Alluvial,AM,60,4,1
Money Plant,8,39,23.5,1783.335,Laterite,BSH,80,1.67,0
Money Plant,10,41,25.5,1950,Arid,BSH,90,3,0
Money Plant,7,38,22.5,1700,Mountain,CWA,75,1,0
Money Plant,12.75,31.25,22,1587.5,Red & Yellow,AM,55,3.5,1
Money Plant,14.14,33.57,23.855,1750,Laterite,AW,64.29,4.43,1
Money Plant,13.95,33.25,23.6,1727.5,Red & Yellow,AM,63,4.3,1
Money Plant,10,41,25.5,1950,Laterite,BWH,90,3,0
Money Plant,15,35,25,1850,Alluvial,AM,70,5,1
Money Plant,9,40,24.5,1866.665,Mountain,CFA,85,2.33,0
Money Plant,7,38,22.5,1700,Laterite,CWA,75,1,0
Money Plant,14.14,33.57,23.855,1750,Alluvial,AW,64.29,4.43,1
Money Plant,15,35,25,1850,Red & Yellow,AM,70,5,1
Money Plant,14.25,33.75,24,1762.5,Red & Yellow,AM,65,4.5,1
Money Plant,12,30,21,1500,Laterite,AM,50,3,1
Money Plant,12.15,30.25,21.2,1517.5,Alluvial,AM,51,3.1,1
Money Plant,13.05,31.75,22.4,1622.5,Red & Yellow,AW,57,3.7,1
Money Plant,7,38,22.5,1700,Alluvial,CWB,75,1,0
Money Plant,7,38,22.5,1700,Mountain,AM,75,1,0
Money Plant,8,39,23.5,1783.335,Mountain,CFA,80,1.67,0
